codigo,municipio,pib_mil_reais
1100015,Alta Floresta D'Oeste - RO,734467
1100023,Ariquemes - RO,3211294
1100031,Cabixi - RO,238414
1100049,Cacoal - RO,2792506
1100056,Cerejeiras - RO,743062
1100064,Colorado do Oeste - RO,424846
1100072,Corumbiara - RO,396740
1100080,Costa Marques - RO,316672
1100098,Espigão D'Oeste - RO,773372
1100106,Guajará-Mirim - RO,1054255
1100114,Jaru - RO,1764718
1100122,Ji-Paraná - RO,4230355
1100130,Machadinho D'Oeste - RO,890319
1100148,Nova Brasilândia D'Oeste - RO,549853
1100155,Ouro Preto do Oeste - RO,986046
1100189,Pimenta Bueno - RO,1642621
1100205,Porto Velho - RO,20056138
1100254,Presidente Médici - RO,560210
1100262,Rio Crespo - RO,184428
1100288,Rolim de Moura - RO,1565241
