ano,pib_brasil_mil_reais,populacao_brasil,pib_per_capita_brasil,municipios_metade_pib,participacao_capitais,participacao_10_maiores
2010,3885846972.0,190755799.0,20370.7934,53,34.3717,29.3336
2011,4376381977.0,192379287.0,22748.7171,56,33.9275,28.9575
2012,4814759992.0,193946886.0,24825.1472,58,33.5654,28.4391
2013,5331618949.0,201032714.0,26521.1509,61,33.0095,28.0047
2014,5778952778.0,202768562.0,28500.2405,64,32.8925,27.5978
2015,5995786998.0,204450049.0,29326.4151,65,33.1425,27.9674
2016,6269328045.0,206081432.0,30421.6056,67,33.0357,28.0588
2017,6585478995.0,207660929.0,31712.6531,70,32.3471,27.3925
2018,7004141026.0,208494900.0,33593.8242,72,31.7518,26.756
2019,7389131025.0,210147125.0,35161.7041,72,31.4318,26.6268
2020,7609597008.0,211755692.0,35935.7377,83,29.6579,25.0398
2021,9012142031.0,213317639.0,42247.5238,87,27.6213,23.4531
2022,10079676379.0,203080756.0,49633.8332,82,27.4774,24.2587
2023,10943345420.0,203080756.0,53886.6687,84,28.304,24.5324
