codigo,municipio,pib_mil_reais
1100015,Alta Floresta D'Oeste - RO,734467
1100023,Ariquemes - RO,3211294
1100031,Cabixi - RO,238414
1100049,Cacoal - RO,2792506
1100056,Cerejeiras - RO,743062
1100064,Colorado do Oeste - RO,424846
1100072,Corumbiara - RO,396740
1100080,Costa Marques - RO,316672
1100098,Espigão D'Oeste - RO,773372
1100106,Guajará-Mirim - RO,1054255
1100114,Jaru - RO,1764718
1100122,Ji-Paraná - RO,4230355
1100130,Machadinho D'Oeste - RO,890319
1100148,Nova Brasilândia D'Oeste - RO,549853
1100155,Ouro Preto do Oeste - RO,986046
1100189,Pimenta Bueno - RO,1642621
1100205,Porto Velho - RO,20056138
1100254,Presidente Médici - RO,560210
1100262,Rio Crespo - RO,184428
1100288,Rolim de Moura - RO,1565241
1100296,Santa Luzia D'Oeste - RO,213590
1100304,Vilhena - RO,4215442
1100320,São Miguel do Guaporé - RO,905341
1100338,Nova Mamoré - RO,742686
1100346,Alvorada D'Oeste - RO,352630
1100379,Alto Alegre dos Parecis - RO,483672
1100403,Alto Paraíso - RO,510740
1100452,Buritis - RO,966556
1100502,Novo Horizonte do Oeste - RO,231501
1100601,Cacaulândia - RO,275338
1100700,Campo Novo de Rondônia - RO,369127
1100809,Candeias do Jamari - RO,655569
1100908,Castanheiras - RO,99627
1100924,Chupinguaia - RO,468793
1100940,Cujubim - RO,487756
1101005,Governador Jorge Teixeira - RO,239331
1101104,Itapuã do Oeste - RO,209927
1101203,Ministro Andreazza - RO,297876
1101302,Mirante da Serra - RO,262627
1101401,Monte Negro - RO,389781
1101435,Nova União - RO,157321
1101450,Parecis - RO,155430
1101468,Pimenteiras do Oeste - RO,246209
1101476,Primavera de Rondônia - RO,107030
1101484,São Felipe D'Oeste - RO,130675
1101492,São Francisco do Guaporé - RO,488141
1101500,Seringueiras - RO,332986
1101559,Teixeirópolis - RO,121304
1101609,Theobroma - RO,257436
1101708,Urupá - RO,273505
1101757,Vale do Anari - RO,220948
1101807,Vale do Paraíso - RO,185648
1200013,Acrelândia - AC,398725
1200054,Assis Brasil - AC,133916
1200104,Brasiléia - AC,685636
1200138,Bujari - AC,300830
1200179,Capixaba - AC,512353
1200203,Cruzeiro do Sul - AC,2058630
1200252,Epitaciolândia - AC,644542
1200302,Feijó - AC,567040
1200328,Jordão - AC,113975
1200336,Mâncio Lima - AC,269205
1200344,Manoel Urbano - AC,184904
1200351,Marechal Thaumaturgo - AC,256865
1200385,Plácido de Castro - AC,601471
1200393,Porto Walter - AC,160535
1200401,Rio Branco - AC,10955675
1200427,Rodrigues Alves - AC,255649
1200435,Santa Rosa do Purus - AC,108545
1200450,Senador Guiomard - AC,779672
1200500,Sena Madureira - AC,748094
1200609,Tarauacá - AC,711884
1200708,Xapuri - AC,454981
1200807,Porto Acre - AC,471315
1300029,Alvarães - AM,217333
